CHR,BIN_START,BIN_END,midBP,n_all,n_PC1,r_PC1,n_PC2,r_PC2,n_PC3,r_PC3,r_PC1_scaled,r_PC2_scaled,r_PC3_scaled
chr2R,150000000,175000000,162500000,45,4,0.08888888888888889,3,0.06666666666666667,0,0,0.023121387283236993,0.017341040462427744,0
chr2R,175000000,200000000,187500000,9,0,0,1,0.1111111111111111,0,0,0,0.005780346820809248,0
chr2R,200000000,225000000,212500000,12,0,0,0,0,0,0,0,0,0
chr2R,225000000,250000000,237500000,42,5,0.11904761904761904,0,0,1,0.023809523809523808,0.028901734104046242,0,0.005780346820809248
chr2R,250000000,275000000,262500000,17,1,0.058823529411764705,0,0,0,0,0.005780346820809248,0,0
chr2R,275000000,300000000,287500000,3,0,0,0,0,0,0,0,0,0
chr2R,325000000,350000000,337500000,1,0,0,0,0,0,0,0,0,0
chr2R,350000000,375000000,362500000,1,1,1,1,1,0,0,0.005780346820809248,0.005780346820809248,0
chr2R,375000000,400000000,387500000,2,0,0,0,0,0,0,0,0,0
chr2R,400000000,425000000,412500000,5,0,0,0,0,0,0,0,0,0
chr2R,425000000,450000000,437500000,4,0,0,0,0,0,0,0,0,0
chr2R,450000000,475000000,462500000,19,1,0.05263157894736842,0,0,0,0,0.005780346820809248,0,0
chr2R,475000000,500000000,487500000,5,2,0.4,2,0.4,0,0,0.011560693641618497,0.011560693641618497,0
chr2R,500000000,525000000,512500000,2,0,0,0,0,0,0,0,0,0
chr2R,525000000,550000000,537500000,5,0,0,0,0,0,0,0,0,0
chr2R,550000000,575000000,562500000,27,1,0.037037037037037035,0,0,1,0.037037037037037035,0.005780346820809248,0,0.005780346820809248
chr2R,575000000,600000000,587500000,55,2,0.03636363636363636,0,0,1,0.01818181818181818,0.011560693641618497,0,0.005780346820809248
chr2R,600000000,625000000,612500000,67,1,0.014925373134328358,2,0.029850746268656716,0,0,0.005780346820809248,0.011560693641618497,0
chr2R,625000000,650000000,637500000,31,0,0,0,0,1,0.03225806451612903,0,0,0.005780346820809248
chr2R,650000000,675000000,662500000,76,2,0.02631578947368421,0,0,0,0,0.011560693641618497,0,0
chr2R,675000000,700000000,687500000,45,1,0.022222222222222223,0,0,0,0,0.005780346820809248,0,0
chr2R,700000000,725000000,712500000,69,1,0.014492753623188406,2,0.028985507246376812,1,0.014492753623188406,0.005780346820809248,0.011560693641618497,0.005780346820809248
chr2R,725000000,750000000,737500000,27,1,0.037037037037037035,0,0,1,0.037037037037037035,0.005780346820809248,0,0.005780346820809248
chr2R,750000000,775000000,762500000,65,2,0.03076923076923077,1,0.015384615384615385,0,0,0.011560693641618497,0.005780346820809248,0
chr2R,775000000,800000000,787500000,66,1,0.015151515151515152,0,0,0,0,0.005780346820809248,0,0
chr2R,800000000,825000000,812500000,82,3,0.036585365853658534,2,0.024390243902439025,0,0,0.017341040462427744,0.011560693641618497,0
chr2R,825000000,850000000,837500000,104,6,0.057692307692307696,0,0,0,0,0.03468208092485549,0,0
chr2R,850000000,875000000,862500000,132,2,0.015151515151515152,0,0,1,0.007575757575757576,0.011560693641618497,0,0.005780346820809248
chr2R,875000000,900000000,887500000,81,1,0.012345679012345678,1,0.012345679012345678,0,0,0.005780346820809248,0.005780346820809248,0
chr2R,900000000,925000000,912500000,50,3,0.06,0,0,0,0,0.017341040462427744,0,0
chr2R,925000000,950000000,937500000,95,0,0,0,0,0,0,0,0,0
chr3R,0,25000000,12500000,173,5,0.028901734104046242,1,0.005780346820809248,0,0,0.028901734104046242,0.005780346820809248,0
chr3R,25000000,50000000,37500000,103,2,0.019417475728155338,0,0,0,0,0.011560693641618497,0,0
chr3R,50000000,75000000,62500000,118,0,0,0,0,0,0,0,0,0
chr3R,75000000,100000000,87500000,79,1,0.012658227848101266,5,0.06329113924050633,0,0,0.005780346820809248,0.028901734104046242,0
chr3R,100000000,125000000,112500000,27,2,0.07407407407407407,1,0.037037037037037035,0,0,0.011560693641618497,0.005780346820809248,0
chr3R,125000000,150000000,137500000,27,1,0.037037037037037035,0,0,0,0,0.005780346820809248,0,0
chr3R,150000000,175000000,162500000,58,5,0.08620689655172414,3,0.05172413793103448,0,0,0.028901734104046242,0.017341040462427744,0
chr3R,175000000,200000000,187500000,46,2,0.043478260869565216,2,0.043478260869565216,0,0,0.011560693641618497,0.011560693641618497,0
chr3R,200000000,225000000,212500000,35,1,0.02857142857142857,2,0.05714285714285714,0,0,0.005780346820809248,0.011560693641618497,0
chr3R,225000000,250000000,237500000,19,1,0.05263157894736842,0,0,0,0,0.005780346820809248,0,0
chr3R,250000000,275000000,262500000,17,3,0.17647058823529413,2,0.11764705882352941,0,0,0.017341040462427744,0.011560693641618497,0
chr3R,275000000,300000000,287500000,6,1,0.16666666666666666,0,0,0,0,0.005780346820809248,0,0
chr3R,300000000,325000000,312500000,3,0,0,0,0,0,0,0,0,0
chr3R,325000000,350000000,337500000,1,0,0,0,0,0,0,0,0,0
chr3R,375000000,400000000,387500000,1,0,0,0,0,0,0,0,0,0
chr3R,475000000,500000000,487500000,1,0,0,0,0,0,0,0,0,0
chr3R,500000000,525000000,512500000,3,1,0.3333333333333333,2,0.6666666666666666,0,0,0.005780346820809248,0.011560693641618497,0
chr3R,525000000,550000000,537500000,2,0,0,0,0,0,0,0,0,0
chr3R,550000000,575000000,562500000,2,0,0,0,0,0,0,0,0,0
chr3R,575000000,600000000,587500000,2,2,1,2,1,0,0,0.011560693641618497,0.011560693641618497,0
chr3R,600000000,625000000,612500000,13,2,0.15384615384615385,2,0.15384615384615385,0,0,0.011560693641618497,0.011560693641618497,0
chr3R,625000000,650000000,637500000,10,0,0,0,0,0,0,0,0,0
chr3R,650000000,675000000,662500000,39,0,0,0,0,0,0,0,0,0
chr3R,675000000,700000000,687500000,55,3,0.05454545454545454,1,0.01818181818181818,0,0,0.017341040462427744,0.005780346820809248,0
chr3R,700000000,725000000,712500000,28,0,0,0,0,0,0,0,0,0
chr3R,725000000,750000000,737500000,47,0,0,0,0,0,0,0,0,0
chr3R,750000000,775000000,762500000,51,0,0,1,0.0196078431372549,0,0,0,0.005780346820809248,0
chr3R,775000000,800000000,787500000,40,2,0.05,1,0.025,1,0.025,0.011560693641618497,0.005780346820809248,0.005780346820809248
chr3R,800000000,825000000,812500000,79,2,0.02531645569620253,1,0.012658227848101266,0,0,0.011560693641618497,0.005780346820809248,0
chr3R,825000000,850000000,837500000,62,3,0.04838709677419355,1,0.016129032258064516,0,0,0.017341040462427744,0.005780346820809248,0
chr3R,850000000,875000000,862500000,66,0,0,0,0,0,0,0,0,0
chr3R,875000000,900000000,887500000,50,1,0.02,0,0,0,0,0.005780346820809248,0,0
chr3R,900000000,925000000,912500000,98,1,0.01020408163265306,0,0,0,0,0.005780346820809248,0,0
chr3R,925000000,950000000,937500000,82,1,0.012195121951219513,0,0,0,0,0.005780346820809248,0,0
chr3R,950000000,975000000,962500000,62,0,0,1,0.016129032258064516,0,0,0,0.005780346820809248,0
chr4R,0,25000000,12500000,123,3,0.024390243902439025,3,0.024390243902439025,1,0.008130081300813009,0.017341040462427744,0.017341040462427744,0.005780346820809248
chr4R,25000000,50000000,37500000,51,0,0,0,0,0,0,0,0,0
chr4R,50000000,75000000,62500000,71,1,0.014084507042253521,1,0.014084507042253521,1,0.014084507042253521,0.005780346820809248,0.005780346820809248,0.005780346820809248
chr4R,75000000,100000000,87500000,57,0,0,0,0,1,0.017543859649122806,0,0,0.005780346820809248
chr4R,100000000,125000000,112500000,28,0,0,0,0,0,0,0,0,0
chr4R,125000000,150000000,137500000,39,3,0.07692307692307693,1,0.02564102564102564,0,0,0.017341040462427744,0.005780346820809248,0
chr4R,150000000,175000000,162500000,42,2,0.047619047619047616,1,0.023809523809523808,0,0,0.011560693641618497,0.005780346820809248,0
chr4R,175000000,200000000,187500000,10,1,0.1,0,0,0,0,0.005780346820809248,0,0
chr4R,275000000,300000000,287500000,1,0,0,0,0,0,0,0,0,0
chr4R,300000000,325000000,312500000,2,1,0.5,0,0,0,0,0.005780346820809248,0,0
chr4R,325000000,350000000,337500000,4,0,0,0,0,0,0,0,0,0
chr4R,450000000,475000000,462500000,11,1,0.09090909090909091,1,0.09090909090909091,1,0.09090909090909091,0.005780346820809248,0.005780346820809248,0.005780346820809248
chr4R,500000000,525000000,512500000,48,5,0.10416666666666667,2,0.041666666666666664,0,0,0.028901734104046242,0.011560693641618497,0
chr4R,525000000,550000000,537500000,25,3,0.12,0,0,1,0.04,0.017341040462427744,0,0.005780346820809248
chr4R,550000000,575000000,562500000,21,0,0,0,0,0,0,0,0,0
chr4R,575000000,600000000,587500000,39,2,0.05128205128205128,0,0,0,0,0.011560693641618497,0,0
chr4R,600000000,625000000,612500000,58,1,0.017241379310344827,1,0.017241379310344827,0,0,0.005780346820809248,0.005780346820809248,0
chr4R,625000000,650000000,637500000,43,1,0.023255813953488372,0,0,0,0,0.005780346820809248,0,0
chr4R,650000000,675000000,662500000,74,3,0.04054054054054054,1,0.013513513513513514,2,0.02702702702702703,0.017341040462427744,0.005780346820809248,0.011560693641618497
chr4R,675000000,700000000,687500000,70,0,0,0,0,0,0,0,0,0
chr4R,700000000,725000000,712500000,83,0,0,0,0,0,0,0,0,0
chr4R,725000000,750000000,737500000,87,7,0.08045977011494253,0,0,6,0.06896551724137931,0.04046242774566474,0,0.03468208092485549
chr4R,750000000,775000000,762500000,89,1,0.011235955056179775,0,0,0,0,0.005780346820809248,0,0
chr4R,775000000,800000000,787500000,78,1,0.01282051282051282,0,0,0,0,0.005780346820809248,0,0
chr4R,800000000,825000000,812500000,74,0,0,0,0,0,0,0,0,0
chr4R,825000000,850000000,837500000,130,0,0,0,0,0,0,0,0,0
chr4R,850000000,875000000,862500000,88,1,0.011363636363636364,0,0,0,0,0.005780346820809248,0,0
chr4R,875000000,900000000,887500000,129,0,0,0,0,0,0,0,0,0
chr4R,900000000,925000000,912500000,28,0,0,0,0,0,0,0,0,0
chr5R,0,25000000,12500000,53,0,0,0,0,0,0,0,0,0
chr5R,25000000,50000000,37500000,88,1,0.011363636363636364,0,0,1,0.011363636363636364,0.005780346820809248,0,0.005780346820809248
chr5R,50000000,75000000,62500000,39,2,0.05128205128205128,0,0,0,0,0.011560693641618497,0,0
chr5R,75000000,100000000,87500000,3,0,0,0,0,0,0,0,0,0
chr5R,100000000,125000000,112500000,12,0,0,0,0,0,0,0,0,0
chr5R,125000000,150000000,137500000,8,0,0,0,0,0,0,0,0,0
chr5R,150000000,175000000,162500000,13,0,0,0,0,0,0,0,0,0
chr5R,250000000,275000000,262500000,1,0,0,0,0,0,0,0,0,0
chr5R,275000000,300000000,287500000,3,0,0,0,0,0,0,0,0,0
chr5R,300000000,325000000,312500000,5,1,0.2,0,0,0,0,0.005780346820809248,0,0
chr5R,325000000,350000000,337500000,1,0,0,0,0,0,0,0,0,0
chr5R,350000000,375000000,362500000,24,1,0.041666666666666664,0,0,0,0,0.005780346820809248,0,0
chr5R,375000000,400000000,387500000,32,1,0.03125,1,0.03125,0,0,0.005780346820809248,0.005780346820809248,0
chr5R,400000000,425000000,412500000,10,1,0.1,1,0.1,0,0,0.005780346820809248,0.005780346820809248,0
chr5R,425000000,450000000,437500000,26,2,0.07692307692307693,0,0,0,0,0.011560693641618497,0,0
chr5R,450000000,475000000,462500000,41,3,0.07317073170731707,2,0.04878048780487805,1,0.024390243902439025,0.017341040462427744,0.011560693641618497,0.005780346820809248
chr5R,475000000,500000000,487500000,40,1,0.025,1,0.025,0,0,0.005780346820809248,0.005780346820809248,0
chr5R,500000000,525000000,512500000,60,1,0.016666666666666666,2,0.03333333333333333,0,0,0.005780346820809248,0.011560693641618497,0
chr5R,525000000,550000000,537500000,102,1,0.00980392156862745,0,0,1,0.00980392156862745,0.005780346820809248,0,0.005780346820809248
chr5R,550000000,575000000,562500000,29,0,0,0,0,0,0,0,0,0
chr5R,575000000,600000000,587500000,39,1,0.02564102564102564,0,0,0,0,0.005780346820809248,0,0
chr5R,600000000,625000000,612500000,58,2,0.034482758620689655,0,0,1,0.017241379310344827,0.011560693641618497,0,0.005780346820809248
chr5R,625000000,650000000,637500000,44,1,0.022727272727272728,1,0.022727272727272728,0,0,0.005780346820809248,0.005780346820809248,0
chr5R,650000000,675000000,662500000,117,0,0,0,0,0,0,0,0,0
chr5R,675000000,700000000,687500000,84,3,0.03571428571428571,0,0,1,0.011904761904761904,0.017341040462427744,0,0.005780346820809248
chr5R,700000000,725000000,712500000,82,2,0.024390243902439025,1,0.012195121951219513,0,0,0.011560693641618497,0.005780346820809248,0
chr5R,725000000,750000000,737500000,89,2,0.02247191011235955,0,0,0,0,0.011560693641618497,0,0
chr5R,750000000,775000000,762500000,42,2,0.047619047619047616,0,0,0,0,0.011560693641618497,0,0
chr5R,775000000,800000000,787500000,128,1,0.0078125,0,0,0,0,0.005780346820809248,0,0
chr5R,800000000,825000000,812500000,60,0,0,0,0,1,0.016666666666666666,0,0,0.005780346820809248
chr5R,825000000,850000000,837500000,99,4,0.04040404040404041,1,0.010101010101010102,0,0,0.023121387283236993,0.005780346820809248,0
chr5R,850000000,875000000,862500000,143,3,0.02097902097902098,1,0.006993006993006993,0,0,0.017341040462427744,0.005780346820809248,0
chr6R,0,25000000,12500000,78,0,0,1,0.01282051282051282,0,0,0,0.005780346820809248,0
chr6R,25000000,50000000,37500000,55,0,0,0,0,0,0,0,0,0
chr6R,50000000,75000000,62500000,33,2,0.06060606060606061,0,0,0,0,0.011560693641618497,0,0
chr6R,75000000,100000000,87500000,25,1,0.04,1,0.04,0,0,0.005780346820809248,0.005780346820809248,0
chr6R,100000000,125000000,112500000,7,0,0,0,0,0,0,0,0,0
chr6R,125000000,150000000,137500000,8,1,0.125,1,0.125,0,0,0.005780346820809248,0.005780346820809248,0
chr6R,150000000,175000000,162500000,2,1,0.5,1,0.5,0,0,0.005780346820809248,0.005780346820809248,0
chr6R,175000000,200000000,187500000,1,0,0,0,0,0,0,0,0,0
chr6R,225000000,250000000,237500000,2,0,0,0,0,0,0,0,0,0
chr6R,250000000,275000000,262500000,4,0,0,0,0,1,0.25,0,0,0.005780346820809248
chr6R,275000000,300000000,287500000,1,0,0,0,0,0,0,0,0,0
chr6R,300000000,325000000,312500000,10,0,0,0,0,0,0,0,0,0
chr6R,325000000,350000000,337500000,14,0,0,0,0,0,0,0,0,0
chr6R,375000000,400000000,387500000,4,3,0.75,1,0.25,1,0.25,0.017341040462427744,0.005780346820809248,0.005780346820809248
chr6R,400000000,425000000,412500000,1,0,0,0,0,0,0,0,0,0
chr6R,425000000,450000000,437500000,7,0,0,0,0,0,0,0,0,0
chr6R,450000000,475000000,462500000,28,0,0,0,0,0,0,0,0,0
chr6R,475000000,500000000,487500000,39,3,0.07692307692307693,3,0.07692307692307693,0,0,0.017341040462427744,0.017341040462427744,0
chr6R,500000000,525000000,512500000,12,1,0.08333333333333333,0,0,1,0.08333333333333333,0.005780346820809248,0,0.005780346820809248
chr6R,525000000,550000000,537500000,21,5,0.23809523809523808,3,0.14285714285714285,1,0.047619047619047616,0.028901734104046242,0.017341040462427744,0.005780346820809248
chr6R,550000000,575000000,562500000,10,1,0.1,0,0,0,0,0.005780346820809248,0,0
chr6R,575000000,600000000,587500000,41,1,0.024390243902439025,1,0.024390243902439025,0,0,0.005780346820809248,0.005780346820809248,0
chr6R,600000000,625000000,612500000,103,1,0.009708737864077669,0,0,1,0.009708737864077669,0.005780346820809248,0,0.005780346820809248
chr6R,625000000,650000000,637500000,103,7,0.06796116504854369,2,0.019417475728155338,0,0,0.04046242774566474,0.011560693641618497,0
chr6R,650000000,675000000,662500000,60,0,0,0,0,0,0,0,0,0
chr6R,675000000,700000000,687500000,110,0,0,3,0.02727272727272727,1,0.00909090909090909,0,0.017341040462427744,0.005780346820809248
chr6R,700000000,725000000,712500000,116,1,0.008620689655172414,1,0.008620689655172414,0,0,0.005780346820809248,0.005780346820809248,0
chr6R,725000000,750000000,737500000,120,1,0.008333333333333333,1,0.008333333333333333,1,0.008333333333333333,0.005780346820809248,0.005780346820809248,0.005780346820809248
chr6R,750000000,775000000,762500000,87,2,0.022988505747126436,1,0.011494252873563218,0,0,0.011560693641618497,0.005780346820809248,0
chr6R,775000000,800000000,787500000,142,1,0.007042253521126761,2,0.014084507042253521,1,0.007042253521126761,0.005780346820809248,0.011560693641618497,0.005780346820809248
chr6R,800000000,825000000,812500000,121,1,0.008264462809917356,0,0,0,0,0.005780346820809248,0,0
chr6R,825000000,850000000,837500000,161,0,0,0,0,1,0.006211180124223602,0,0,0.005780346820809248
chr6R,850000000,875000000,862500000,83,1,0.012048192771084338,0,0,0,0,0.005780346820809248,0,0
chr6R,875000000,900000000,887500000,13,0,0,0,0,0,0,0,0,0
chr7R,0,25000000,12500000,126,6,0.047619047619047616,0,0,1,0.007936507936507936,0.03468208092485549,0,0.005780346820809248
chr7R,25000000,50000000,37500000,50,2,0.04,0,0,0,0,0.011560693641618497,0,0
chr7R,50000000,75000000,62500000,67,0,0,1,0.014925373134328358,0,0,0,0.005780346820809248,0
chr7R,75000000,100000000,87500000,81,1,0.012345679012345678,0,0,0,0,0.005780346820809248,0,0
chr7R,100000000,125000000,112500000,75,2,0.02666666666666667,0,0,1,0.013333333333333334,0.011560693641618497,0,0.005780346820809248
chr7R,125000000,150000000,137500000,48,0,0,0,0,0,0,0,0,0
chr7R,150000000,175000000,162500000,21,1,0.047619047619047616,1,0.047619047619047616,0,0,0.005780346820809248,0.005780346820809248,0
chr7R,175000000,200000000,187500000,50,4,0.08,2,0.04,2,0.04,0.023121387283236993,0.011560693641618497,0.011560693641618497
chr7R,200000000,225000000,212500000,32,2,0.0625,0,0,0,0,0.011560693641618497,0,0
chr7R,225000000,250000000,237500000,10,2,0.2,2,0.2,0,0,0.011560693641618497,0.011560693641618497,0
chr7R,250000000,275000000,262500000,4,0,0,0,0,0,0,0,0,0
chr7R,275000000,300000000,287500000,29,0,0,0,0,0,0,0,0,0
chr7R,300000000,325000000,312500000,13,0,0,0,0,0,0,0,0,0
chr7R,325000000,350000000,337500000,6,1,0.16666666666666666,0,0,0,0,0.005780346820809248,0,0
chr7R,375000000,400000000,387500000,12,0,0,1,0.08333333333333333,0,0,0,0.005780346820809248,0
chr7R,400000000,425000000,412500000,1,0,0,0,0,0,0,0,0,0
chr7R,425000000,450000000,437500000,2,0,0,0,0,0,0,0,0,0
chr7R,450000000,475000000,462500000,2,0,0,0,0,0,0,0,0,0
chr7R,525000000,550000000,537500000,6,0,0,0,0,0,0,0,0,0
chr7R,550000000,575000000,562500000,19,0,0,0,0,0,0,0,0,0
chr7R,575000000,600000000,587500000,34,0,0,0,0,1,0.029411764705882353,0,0,0.005780346820809248
chr7R,600000000,625000000,612500000,10,3,0.3,0,0,0,0,0.017341040462427744,0,0
chr7R,625000000,650000000,637500000,16,1,0.0625,1,0.0625,0,0,0.005780346820809248,0.005780346820809248,0
chr7R,650000000,675000000,662500000,8,0,0,0,0,0,0,0,0,0
chr7R,675000000,700000000,687500000,57,1,0.017543859649122806,3,0.05263157894736842,0,0,0.005780346820809248,0.017341040462427744,0
chr7R,700000000,725000000,712500000,22,1,0.045454545454545456,0,0,0,0,0.005780346820809248,0,0
chr7R,725000000,750000000,737500000,29,1,0.034482758620689655,0,0,1,0.034482758620689655,0.005780346820809248,0,0.005780346820809248
chr7R,750000000,775000000,762500000,46,1,0.021739130434782608,0,0,0,0,0.005780346820809248,0,0
chr7R,775000000,800000000,787500000,37,1,0.02702702702702703,1,0.02702702702702703,0,0,0.005780346820809248,0.005780346820809248,0
chr7R,800000000,825000000,812500000,64,3,0.046875,0,0,1,0.015625,0.017341040462427744,0,0.005780346820809248
chr7R,825000000,850000000,837500000,135,1,0.007407407407407408,0,0,0,0,0.005780346820809248,0,0
chr7R,850000000,875000000,862500000,134,1,0.007462686567164179,0,0,1,0.007462686567164179,0.005780346820809248,0,0.005780346820809248
chr7R,875000000,900000000,887500000,111,3,0.02702702702702703,0,0,0,0,0.017341040462427744,0,0
chrB,300000000,325000000,312500000,10,0,0,0,0,0,0,0,0,0
chrUn,0,25000000,12500000,106,3,0.02830188679245283,1,0.009433962264150943,1,0.009433962264150943,0.017341040462427744,0.005780346820809248,0.005780346820809248
chrUn,25000000,50000000,37500000,6,0,0,0,0,0,0,0,0,0
chrUn,50000000,75000000,62500000,88,0,0,0,0,0,0,0,0,0
chrUn,75000000,100000000,87500000,27,0,0,0,0,0,0,0,0,0
chrUn,100000000,125000000,112500000,7,0,0,0,0,0,0,0,0,0
chrUn,125000000,150000000,137500000,1,0,0,0,0,0,0,0,0,0
chrUn,150000000,175000000,162500000,8,0,0,0,0,0,0,0,0,0
chrUn,175000000,200000000,187500000,3,0,0,0,0,0,0,0,0,0
chrUn,250000000,275000000,262500000,5,0,0,0,0,0,0,0,0,0
chrUn,275000000,300000000,287500000,5,0,0,0,0,0,0,0,0,0
chrUn,300000000,325000000,312500000,4,0,0,0,0,0,0,0,0,0
chrUn,325000000,350000000,337500000,4,0,0,0,0,0,0,0,0,0
chrUn,350000000,375000000,362500000,19,0,0,0,0,0,0,0,0,0
chrUn,375000000,400000000,387500000,17,0,0,1,0.058823529411764705,0,0,0,0.005780346820809248,0
chrUn,400000000,425000000,412500000,25,0,0,0,0,0,0,0,0,0
chrUn,450000000,475000000,462500000,4,0,0,0,0,0,0,0,0,0
chrUn,475000000,500000000,487500000,10,1,0.1,0,0,0,0,0.005780346820809248,0,0
